epoch,step,train_kl_loss,train_loss,train_recon_loss,val_kl_loss,val_loss,val_recon_loss
0,437,,,,0.022908397018909454,0.07458354532718658,0.05167512968182564
0,437,0.161025270819664,0.31148824095726013,0.1504628211259842,,,
1,875,,,,0.010608629323542118,0.06077912822365761,0.050170499831438065
1,875,0.014509075321257114,0.06491217762231827,0.05040309950709343,,,
2,1313,,,,0.007424923591315746,0.05750133842229843,0.05007642135024071
2,1313,0.0084016602486372,0.0584721677005291,0.05007051303982735,,,
3,1751,,,,0.005993739701807499,0.05605090782046318,0.05005715787410736
3,1751,0.0064204176887869835,0.05644713342189789,0.050026748329401016,,,
4,2189,,,,0.005145460367202759,0.05519184470176697,0.050046373158693314
4,2189,0.005403440911322832,0.05541557818651199,0.05001213029026985,,,
5,2627,,,,0.004566272720694542,0.05460794270038605,0.05004167929291725
5,2627,0.004738614894449711,0.05474387854337692,0.05000524967908859,,,
6,3065,,,,0.004142067860811949,0.05418127402663231,0.05003921687602997
6,3065,0.004259538371115923,0.05426167696714401,0.05000210925936699,,,
7,3503,,,,0.003782698418945074,0.05382024124264717,0.05003754422068596
7,3503,0.003907110076397657,0.05390707403421402,0.04999994486570358,,,
8,3941,,,,0.003539143828675151,0.05357586219906807,0.050036728382110596
8,3941,0.003584812628105283,0.05358380079269409,0.049998939037323,,,
9,4379,,,,0.0032791204284876585,0.05331515893340111,0.05003603920340538
9,4379,0.003322931006550789,0.05332093685865402,0.049998003989458084,,,
10,4817,,,,0.003008233616128564,0.053043950349092484,0.050035733729600906
10,4817,0.003085518255829811,0.05308312550187111,0.04999759793281555,,,
11,5255,,,,0.0028288362082093954,0.05286422744393349,0.05003538727760315
11,5255,0.0028762081637978554,0.052873220294713974,0.049997031688690186,,,
12,5693,,,,0.002671921858564019,0.05270710960030556,0.05003516376018524
12,5693,0.002696905517950654,0.05269366130232811,0.04999672994017601,,,
13,6131,,,,0.0025040118489414454,0.052538808435201645,0.050034794956445694
13,6131,0.002537073567509651,0.05253363028168678,0.04999660328030586,,,
14,6569,,,,0.002344348933547735,0.052379414439201355,0.05003504827618599
14,6569,0.00238345330581069,0.05237983167171478,0.04999643936753273,,,
15,7007,,,,0.0022089341655373573,0.05224379897117615,0.05003487318754196
15,7007,0.00224503967911005,0.05224146693944931,0.049996424466371536,,,
16,7445,,,,0.0021059131249785423,0.052140504121780396,0.05003457888960838
16,7445,0.002117044758051634,0.052113503217697144,0.04999644681811333,,,
17,7883,,,,0.0019794716499745846,0.05201420187950134,0.05003473162651062
17,7883,0.0020000371150672436,0.051996439695358276,0.04999641329050064,,,
18,8321,,,,0.001691575045697391,0.05172659084200859,0.050035007297992706
18,8321,0.0018396577797830105,0.0518362931907177,0.04999668523669243,,,
19,8759,,,,0.001397733693011105,0.05143236368894577,0.05003461614251137
19,8759,0.0014842180535197258,0.051480747759342194,0.04999657720327377,,,
