epoch,step,train_kl_loss,train_loss,train_recon_loss,val_kl_loss,val_loss,val_recon_loss
0,437,,,,0.08136479556560516,1.0914043188095093,1.0100395679473877
0,437,0.21458402276039124,1.3609133958816528,1.1463290452957153,,,
1,875,,,,0.04423915967345238,1.0453945398330688,1.0011554956436157
1,875,0.05701488256454468,1.0598872900009155,1.0028728246688843,,,
2,1313,,,,0.02557857520878315,1.0262097120285034,1.0006316900253296
2,1313,0.027581799775362015,1.028145432472229,1.0005638599395752,,,
3,1751,,,,0.016787413507699966,1.0172984600067139,1.000510811805725
3,1751,0.01346681546419859,1.0137697458267212,1.000302791595459,,,
4,2189,,,,0.013249283656477928,1.0137206315994263,1.0004714727401733
4,2189,0.006867242977023125,1.0070973634719849,1.0002306699752808,,,
5,2627,,,,0.012170485220849514,1.0126278400421143,1.0004571676254272
5,2627,0.0036620371975004673,1.0038641691207886,1.000203251838684,,,
6,3065,,,,0.01155613362789154,1.012008547782898,1.0004525184631348
6,3065,0.0019074423471465707,1.002097249031067,1.0001896619796753,,,
7,3503,,,,0.011113543063402176,1.0115669965744019,1.0004534721374512
7,3503,0.0008681535837240517,1.0010490417480469,1.000180959701538,,,
8,3941,,,,0.010858052410185337,1.011315941810608,1.000458002090454
8,3941,0.00039599972660653293,1.0005708932876587,1.0001742839813232,,,
9,4379,,,,0.010669455863535404,1.0111302137374878,1.0004606246948242
9,4379,0.00019980108481831849,1.0003700256347656,1.0001709461212158,,,
10,4817,,,,0.010523551143705845,1.0109872817993164,1.000463604927063
10,4817,0.00010880897752940655,1.000277042388916,1.0001684427261353,,,
11,5255,,,,0.010400190018117428,1.0108646154403687,1.0004640817642212
11,5255,6.583391223102808e-05,1.0002316236495972,1.0001657009124756,,,
12,5693,,,,0.010294443927705288,1.0107617378234863,1.0004674196243286
12,5693,4.8318430344806984e-05,1.0002130270004272,1.0001639127731323,,,
13,6131,,,,0.010137154720723629,1.010605812072754,1.0004688501358032
13,6131,5.335679816198535e-05,1.0002164840698242,1.0001633167266846,,,
14,6569,,,,0.009760712273418903,1.0102295875549316,1.0004692077636719
14,6569,0.00013927891268394887,1.0003013610839844,1.00016188621521,,,
15,7007,,,,0.00905910599976778,1.009529948234558,1.0004711151123047
15,7007,0.0004507159173954278,1.0006122589111328,1.0001615285873413,,,
16,7445,,,,0.008779332041740417,1.009251594543457,1.0004719495773315
16,7445,0.0004123952821828425,1.0005723237991333,1.0001604557037354,,,
17,7883,,,,0.008765528909862041,1.0092378854751587,1.0004721879959106
17,7883,0.00012266385601833463,1.000282883644104,1.0001600980758667,,,
18,8321,,,,0.008727025240659714,1.0091995000839233,1.0004723072052002
18,8321,5.040510950493626e-05,1.0002093315124512,1.0001590251922607,,,
19,8759,,,,0.008696693927049637,1.0091689825057983,1.0004724264144897
19,8759,3.789861875702627e-05,1.0001970529556274,1.0001593828201294,,,
